player_name,club,atta_serial,atta_position,atta_assists,atta_corner_taken,atta_offsides,atta_dribbles,atta_match_played,atte_serial,atte_position,atte_total_attempts,atte_on_target,atte_off_target,atte_blocked,atte_match_played,defe_serial,defe_position,defe_balls_recoverd,defe_tackles,defe_t_won,defe_t_lost,defe_clearance_attempted,defe_match_played,disc_serial,disc_position,disc_fouls_committed,disc_fouls_suffered,disc_red,disc_yellow,disc_minutes_played,disc_match_played,dist_serial,dist_position,dist_pass_accuracy,dist_pass_attempted,dist_pass_completed,dist_cross_accuracy,dist_cross_attempted,dist_cross_complted,dist_freekicks_taken,dist_match_played,goal_serial_x,goal_position_x,goal_saved,goal_conceded,goal_saved_penalties,goal_cleansheets,goal_punches_made,goal_match_played_x,goal_serial_y,goal_position_y,goal_goals,goal_right_foot,goal_left_foot,goal_headers,goal_others,goal_inside_area,goal_outside_areas,goal_penalties,goal_match_played_y,key__position,key__minutes_played,key__match_played,key__goals,key__assists,key__distance_covered,cluster,pca1,pca2
ahmedhodžić,malmö,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,95.0,Defender,32.0,6.0,3.0,3.0,24.0,5.0,146.0,Defender,6.0,0.0,1.0,1.0,413.0,5.0,306.0,Defender,83.0,225.0,191.0,0.0,0.0,0.0,10.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,413.0,5.0,0.0,0.0,46.3,0,-0.48724299082494615,2.926138887082109
akanji,dortmund,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,Defender,2.0,0.0,1.0,1.0,5.0,54.0,Defender,39.0,5.0,2.0,3.0,12.0,5.0,491.0,Defender,1.0,2.0,0.0,0.0,450.0,5.0,172.0,Defender,87.0,299.0,262.0,0.0,1.0,0.0,9.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,450.0,5.0,0.0,0.0,50.6,1,-0.19945591635947446,2.3571448413583895
aké,man. city,0.0,0,0.0,0.0,0.0,0.0,0.0,219.0,Defender,4.0,1.0,3.0,0.0,6.0,205.0,Defender,19.0,3.0,3.0,0.0,19.0,6.0,326.0,Defender,3.0,4.0,1.0,0.0,324.0,6.0,80.0,Defender,90.3,259.0,244.0,0.0,0.0,0.0,7.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Defender,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,Defender,324.0,6.0,1.0,0.0,36.9,2,1.1675483333954677,0.3983353050036056
al. miranchuk,atalanta,64.0,Forward,1.0,0.0,0.0,2.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,543.0,Forward,2.0,1.0,1.0,0.0,0.0,2.0,491.0,Forward,1.0,1.0,0.0,0.0,33.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,33.0,2.0,0.0,1.0,4.8,3,-3.6673865042265144,-2.1590006795888836
alaba,real madrid,0.0,0,0.0,0.0,0.0,0.0,0.0,179.0,Defender,5.0,1.0,1.0,3.0,12.0,22.0,Defender,49.0,18.0,12.0,6.0,28.0,12.0,71.0,Defender,9.0,1.0,1.0,0.0,1040.0,12.0,43.0,Defender,92.3,657.0,606.0,11.0,17.0,2.0,21.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Defender,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,Defender,1040.0,12.0,1.0,0.0,112.3,0,8.070371270384634,5.942123006530872
alan patrick,shakhtar donetsk,64.0,Midfielder,1.0,4.0,0.0,5.0,4.0,153.0,Midfielder,6.0,1.0,1.0,4.0,4.0,337.0,Midfielder,10.0,2.0,0.0,2.0,1.0,4.0,146.0,Midfielder,6.0,6.0,0.0,0.0,268.0,4.0,343.0,Midfielder,81.3,153.0,127.0,50.0,4.0,2.0,4.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,268.0,4.0,0.0,1.0,37.1,1,0.42856153450713425,-0.6090095448570554
albiol,villarreal,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,Defender,2.0,0.0,1.0,1.0,12.0,5.0,Defender,73.0,9.0,6.0,3.0,62.0,12.0,71.0,Defender,9.0,6.0,1.0,0.0,1045.0,12.0,211.0,Defender,85.9,440.0,385.0,0.0,1.0,0.0,14.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,1045.0,12.0,0.0,0.0,115.7,0,5.302264241877439,7.346225348702779
alcácer,villarreal,0.0,0,0.0,0.0,0.0,0.0,0.0,219.0,Forward,4.0,2.0,1.0,1.0,3.0,543.0,Forward,2.0,0.0,0.0,0.0,0.0,3.0,491.0,Forward,1.0,0.0,0.0,0.0,73.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Forward,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Forward,73.0,3.0,1.0,0.0,10,1,-2.7655621530973464,-3.1120693411829
alex sandro,juventus,0.0,0,0.0,0.0,0.0,0.0,0.0,153.0,Defender,6.0,1.0,5.0,0.0,7.0,95.0,Defender,32.0,11.0,4.0,7.0,11.0,7.0,94.0,Defender,8.0,9.0,0.0,0.0,553.0,7.0,179.0,Defender,86.9,325.0,284.0,14.0,7.0,1.0,11.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Defender,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,Defender,553.0,7.0,1.0,0.0,69,0,3.5302002137155846,1.8903135001337308
alex teixeira,beşiktaş,0.0,0,0.0,0.0,0.0,0.0,0.0,440.0,Midfielder,1.0,0.0,1.0,0.0,3.0,404.0,Midfielder,7.0,2.0,2.0,0.0,0.0,3.0,417.0,Midfielder,2.0,4.0,1.0,0.0,184.0,3.0,186.0,Midfielder,86.7,50.0,44.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,184.0,3.0,0.0,0.0,18.6,1,-2.596096067860136,-0.19823707273999794
alex telles,man. united,0.0,0,0.0,0.0,0.0,0.0,0.0,440.0,Defender,1.0,1.0,0.0,0.0,4.0,285.0,Defender,13.0,3.0,0.0,3.0,4.0,4.0,417.0,Defender,2.0,6.0,2.0,0.0,293.0,4.0,142.0,Defender,88.0,179.0,164.0,21.0,33.0,7.0,12.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Defender,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,Defender,293.0,4.0,1.0,0.0,33.5,2,0.8286362705758232,0.009757984711846898
alexander-arnold,liverpool,5.0,Defender,4.0,36.0,0.0,9.0,9.0,52.0,Defender,12.0,1.0,6.0,5.0,9.0,17.0,Defender,51.0,1.0,0.0,1.0,18.0,9.0,201.0,Defender,5.0,6.0,2.0,0.0,794.0,9.0,382.0,Defender,80.0,685.0,556.0,29.0,81.0,24.0,28.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,794.0,9.0,0.0,4.0,86.8,5,10.033240186357801,3.129762530446976
alexis sánchez,inter,64.0,Forward,1.0,0.0,3.0,2.0,6.0,347.0,Forward,2.0,1.0,1.0,0.0,6.0,479.0,Forward,4.0,6.0,2.0,4.0,0.0,6.0,417.0,Forward,2.0,2.0,2.0,1.0,155.0,6.0,382.0,Forward,80.0,67.0,54.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Forward,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,Forward,155.0,6.0,1.0,1.0,19,2,1.2440800776431817,-1.4047114338383782
alisson becker,liverpool,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,Goalkeeper,89.7,461.0,415.0,0.0,0.0,0.0,16.0,13.0,18.0,Goalkeeper,15.0,14.0,0.0,4.0,3.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,1170.0,13.0,0.0,0.0,68.8,3,-1.9881780251933587,3.886231054875629
alonso,chelsea,0.0,0,0.0,0.0,0.0,0.0,0.0,52.0,Defender,12.0,4.0,4.0,4.0,8.0,226.0,Defender,17.0,3.0,1.0,2.0,4.0,8.0,40.0,Defender,11.0,7.0,1.0,0.0,548.0,8.0,195.0,Defender,86.3,300.0,258.0,38.0,34.0,13.0,10.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,548.0,8.0,0.0,0.0,68.9,0,3.652847582476861,1.5467041281709661
andriyevskiy,dynamo kyiv,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,428.0,Midfielder,6.0,1.0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,Midfielder,90.0,48.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,94.0,2.0,0.0,0.0,12.9,3,-3.9020182906465517,-0.9379154156392843
andré,losc,0.0,0,0.0,0.0,0.0,0.0,0.0,179.0,Midfielder,5.0,1.0,1.0,3.0,7.0,22.0,Midfielder,49.0,24.0,12.0,12.0,11.0,7.0,71.0,Midfielder,9.0,10.0,3.0,0.0,630.0,7.0,330.0,Midfielder,82.0,352.0,289.0,0.0,4.0,0.0,7.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,630.0,7.0,0.0,0.0,80,0,3.7710552529832486,5.740064960894684
